subject,object,predicat
compound/compound_718,has_side_effect,sideeffect_275
compound/compound_718,has_side_effect,sideeffect_278
compound/compound_718,has_side_effect,sideeffect_279
compound/compound_718,has_side_effect,sideeffect_28
compound/compound_718,has_side_effect,sideeffect_282
compound/compound_718,has_side_effect,sideeffect_285
compound/compound_718,has_side_effect,sideeffect_287
compound/compound_718,has_side_effect,sideeffect_29
compound/compound_718,has_side_effect,sideeffect_293
compound/compound_718,has_side_effect,sideeffect_296
compound/compound_718,has_side_effect,sideeffect_297
compound/compound_718,has_side_effect,sideeffect_298
compound/compound_718,has_side_effect,sideeffect_299
compound/compound_718,has_side_effect,sideeffect_3
compound/compound_718,has_side_effect,sideeffect_30
compound/compound_718,has_side_effect,sideeffect_301
compound/compound_718,has_side_effect,sideeffect_302
compound/compound_718,has_side_effect,sideeffect_3061
compound/compound_718,has_side_effect,sideeffect_309
compound/compound_718,has_side_effect,sideeffect_31
compound/compound_718,has_side_effect,sideeffect_3105
compound/compound_718,has_side_effect,sideeffect_318
compound/compound_718,has_side_effect,sideeffect_319
compound/compound_718,has_side_effect,sideeffect_32
compound/compound_718,has_side_effect,sideeffect_320
compound/compound_718,has_side_effect,sideeffect_321
compound/compound_718,decrease_efficacy,compound_8133
compound/compound_718,decrease_efficacy,compound_8134
compound/compound_718,decrease_efficacy,compound_8200
compound/compound_718,decrease_efficacy,compound_8208
compound/compound_718,decrease_efficacy,compound_9485
compound/compound_718,decrease_efficacy,compound_9617
compound/compound_718,decrease_efficacy,compound_9696
compound/compound_718,decrease_efficacy,compound_5361
compound/compound_718,decrease_efficacy,compound_5403
compound/compound_718,decrease_efficacy,compound_5418
compound/compound_718,decrease_efficacy,compound_5540
compound/compound_718,decrease_efficacy,compound_5718
compound/compound_718,decrease_efficacy,compound_7372
compound/compound_718,decrease_efficacy,compound_8037
compound/compound_718,decrease_efficacy,compound_9476
compound/compound_718,decrease_efficacy,compound_9654
compound/compound_718,decrease_efficacy,compound_10217
compound/compound_718,decrease_efficacy,compound_10312
compound/compound_718,decrease_efficacy,compound_10317
compound/compound_718,decrease_efficacy,compound_10664
compound/compound_718,decrease_efficacy,compound_11769
compound/compound_718,decrease_efficacy,compound_5646
compound/compound_718,decrease_efficacy,compound_9786
compound/compound_718,decrease_efficacy,compound_9811
compound/compound_718,decrease_efficacy,compound_9742
compound/compound_718,decrease_efficacy,compound_10010
compound/compound_718,decrease_efficacy,compound_10120
compound/compound_718,decrease_efficacy,compound_10172
compound/compound_718,decrease_efficacy,compound_10511
compound/compound_718,decrease_efficacy,compound_10597
compound/compound_718,decrease_efficacy,compound_10660
compound/compound_718,decrease_efficacy,compound_10662
compound/compound_718,decrease_efficacy,compound_10767
compound/compound_718,decrease_efficacy,compound_12453
compound/compound_718,decrease_efficacy,compound_12558
compound/compound_718,decrease_efficacy,compound_12740
compound/compound_718,decrease_efficacy,compound_12772
compound/compound_718,decrease_efficacy,compound_12807
compound/compound_718,decrease_efficacy,compound_5719
compound/compound_718,decrease_efficacy,compound_5758
